CourtID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder
132,Court of Common Pleas,LJ        ,LJ        ,S,TRUE,Jury trials in some cases.,https://courts.delaware.gov/commonpleas/,40
133,Family,LJ        ,GJ        ,S,FALSE,No jury trials.,https://courts.delaware.gov/family/,41
134,Justice of the Peace,LJ        ,LJ        ,S,FALSE,Jury trials in Landlord/Tenant.,https://courts.delaware.gov/jpcourt/,42
135,Superior,GJ        ,GJ        ,S,TRUE,Jury trials except in appeals.,https://courts.delaware.gov/superior/,43
18,Court of Appeals,COLR      ,COLR      ,S,TRUE,-99,https://www.dccourts.gov/internet/appellate/main.jsf,44
136,Superior,GJ        ,GJ        ,S,TRUE,Jury trials.,https://www.dccourts.gov/internet/superior/main.jsf,45
19,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,http://www.floridasupremecourt.org/,46
20,District Court of Appeal,IAC       ,IAC       ,S,TRUE,-99,http://www.flcourts.org/florida-courts/district-court-appeal.stml,47
137,Circuit,GJ        ,GJ        ,M,FALSE,Jury trials except in appeals.,http://www.flcourts.org/florida-courts/trial-courts-circuit.stml,48
138,County,LJ        ,LJ        ,M,FALSE,Jury trials.,http://www.flcourts.org/florida-courts/trial-courts-county.stml,49
21,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://www.gasupreme.us/,50
22,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,http://www.gaappeals.us/,51
139,Civil,LJ        ,LJ        ,L,FALSE,-99,http://www.georgiacourts.org/courts/civil/bibb/index.html,52
140,County Recorder's,LJ        ,LJ        ,L,FALSE,No jury trials.,http://www.ncsconline.org/D_KIS/CourtWebSites/CtWeb_GAlimited.htm,53
141,Juvenile,LJ        ,GJ        ,M,FALSE,No jury trials.,-99,54
142,Magistrate,LJ        ,LJ        ,L,FALSE,No jury trials.,http://www.georgiamagistratecouncil.com/,55
143,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,http://municipal.georgiacourts.gov/,56
144,Probate,LJ        ,LJ        ,L,FALSE,"Jury trials only in counties with populations greater than 960.",-99,57
145,State,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,58
146,Superior,GJ        ,GJ        ,M,TRUE,Jury trials.,https://georgiasuperiorcourts.org/,59
24,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://www.courts.state.hi.us/courts/supreme/hawaii_supreme_court,62
25,Intermediate Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,http://www.courts.state.hi.us/courts/appeals/intermediate_court_of_appeals,63
148,Circuit,GJ        ,GJ        ,S,TRUE,Jury trials. The Family Courts are a division of the Circuit Courts and have exclusive jurisdiction over domestic relations and juvenile cases.,-99,64
149,District,LJ        ,LJ        ,S,FALSE,No jury trials.,http://www.courts.state.hi.us/wp-content/themes/hic_state_template_child-Judiciary/redirect_notice.php?redirect=http%3A%2F%2Fwww.courts.state.hi.us%2Fcourts%2Fdistrict%2Fdistrict_courts,65
26,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,https://www.isc.idaho.gov/problem-solving/burdick,66
27,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,-99,67
150,District,GJ        ,GJ        ,M,TRUE,Jury trials.,https://www.isc.idaho.gov/district-courts,68
151,Magistrates Division,LJ        ,LJ        ,M,FALSE,Jury trials. The Magistrates Division of the District Court functions as a limited jurisdiction court.,-99,69
28,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://www.illinoiscourts.gov/SupremeCourt/default.asp,70
29,Appellate Court,IAC       ,IAC       ,S,TRUE,-99,http://www.illinoiscourts.gov/AppellateCourt/default.asp,71
152,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials permissible in most cases.,http://www.illinoiscourts.gov/CircuitCourt/default.asp,72
30,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://www.in.gov/judiciary/supreme/,73
31,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://www.in.gov/judiciary/appeals/,74
32,Tax Court,IAC       ,IAC       ,S,TRUE,-99,https://www.in.gov/judiciary/tax/,75
153,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials except small claims.,https://www.in.gov/judiciary/2794.htm,76
154,City,LJ        ,LJ        ,L,FALSE,Jury trials.,https://www.in.gov/judiciary/2794.htm,77
155,Probate,GJ        ,GJ        ,M,FALSE,Jury trials.,https://www.in.gov/judiciary/iocs/2381.htm,78
156,Small Claims of Marion County,LJ        ,GJ        ,L,FALSE,No jury trials.,-99,79
157,Superior,GJ        ,GJ        ,M,TRUE,"Jury trials except small claims, probate/estate, mental health,  domestic relations, and juvenile. Jurisdiction varies by county.",https://www.in.gov/judiciary/2794.htm,80
158,Town,LJ        ,LJ        ,L,FALSE,Jury trials.,https://www.in.gov/judiciary/2794.htm,81
33,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://www.iowacourts.gov/iowa-courts/supreme-court/,82
34,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,https://www.iowacourts.gov/iowa-courts/court-of-appeals/,83
159,District,GJ        ,GJ        ,M,TRUE,"Jury trials except in small claims,  juvenile,  equity cases,  city and county ordinance violations, and mental health.",https://www.iowacourts.gov/iowa-courts/district-court/,84
35,Supreme Court,COLR      ,COLR      ,S,FALSE,May transfer cases to Court of Appeals.,http://www.kscourts.org/kansas-courts/supreme-court/default.asp,85
36,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,http://www.kscourts.org/kansas-courts/court-of-appeals/default.asp,86
160,District,GJ        ,GJ        ,M,TRUE,Jury trials except in small claims.,http://www.kscourts.org/kansas-courts/district-courts/default.asp,87
161,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,88
37,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://courts.ky.gov/courts/Supreme/Pages/supremecourt.aspx,89
38,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,https://courts.ky.gov/courts/coa/Pages/coa.aspx,90
162,Circuit,GJ        ,GJ        ,S,TRUE,Jury trials except in appeals.,https://courts.ky.gov/courts/Pages/CircuitCourt.aspx,91
163,District,LJ        ,LJ        ,S,FALSE,Jury trials in most cases.,https://courts.ky.gov/courts/Pages/districtCourt.aspx,92
164,Family,GJ        ,GJ        ,S,FALSE,-99,https://courts.ky.gov/courts/familycourt/Pages/default.aspx,93
39,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://www.lasc.org/,94
40,Courts of Appel,IAC       ,IAC       ,S,TRUE,-99,http://www.lasc.org/links.asp#CourtsofAppeal,95
165,City & Parish,LJ        ,LJ        ,M,FALSE,No jury trials.,http://www.lasc.org/links.asp#CityandParishCourts,96
166,District,GJ        ,GJ        ,M,TRUE,Jury trials in most cases.,http://www.lasc.org/links.asp#DistrictCourts,97
167,Family,GJ        ,GJ        ,M,FALSE,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp,98
168,Justice of the Peace,LJ        ,LJ        ,M,FALSE,No jury trials.,-99,99
169,Juvenile,GJ        ,GJ        ,M,FALSE,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp,100
170,Mayor's,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,101
41,Supreme Judicial Court,COLR      ,COLR      ,S,TRUE,-99,http://www.courts.maine.gov/maine_courts/supreme/index.shtml,102
171,District,GJ        ,GJ        ,S,FALSE,No jury trials.,http://www.courts.maine.gov/maine_courts/district/index.shtml,103
172,Probate,LJ        ,GJ        ,L,FALSE,No jury trials.,http://www.maineprobate.net/index.html,104
173,Superior,GJ        ,GJ        ,S,TRUE,Jury trials in some cases.,http://www.courts.maine.gov/maine_courts/superior/index.shtml,105
42,Court of Appeals,COLR      ,COLR      ,S,FALSE,-99,-99,106
43,Court of Special Appeals,IAC       ,IAC       ,S,FALSE,-99,-99,107
174,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials in most cases.,-99,108
175,District,LJ        ,LJ        ,S,FALSE,No jury trials.,-99,109
176,Orphan's,LJ        ,GJ        ,L,FALSE,No jury trials.,-99,110
44,Supreme Judicial Court,COLR      ,COLR      ,S,TRUE,-99,https://www.mass.gov/orgs/massachusetts-supreme-judicial-court,111
45,Appeals Court,IAC       ,IAC       ,S,TRUE,-99,https://www.mass.gov/orgs/appeals-court,112
177,Boston Municipal Court Dept,LJ        ,LJ        ,S,FALSE,Jury trials.,https://www.mass.gov/orgs/boston-municipal-court,113
178,District Court Dept,LJ        ,LJ        ,S,FALSE,Jury trials.,https://www.mass.gov/orgs/district-court,114
179,Housing Court Dept,LJ        ,LJ        ,S,FALSE,Jury trials except in small claims.,https://www.mass.gov/orgs/housing-court/locations,115
180,Juvenile Court Dept,LJ        ,GJ        ,S,FALSE,Jury trials.,https://www.mass.gov/orgs/juvenile-court,116
181,Land Court Dept,LJ        ,LJ        ,S,FALSE,No jury trials.,https://www.mass.gov/orgs/land-court,117
182,Probate & Family Court Dept,LJ        ,GJ        ,S,FALSE,No jury trials.,https://www.mass.gov/orgs/probate-and-family-court,118
183,Superior Court Dept,GJ        ,GJ        ,S,TRUE,Jury trials.,https://www.mass.gov/orgs/superior-court,119
46,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://courts.mi.gov/courts/michigansupremecourt/pages/default.aspx,120
47,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,http://courts.mi.gov/courts/coa/pages/default.aspx,121
184,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials except in domestic relations.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,122
185,Court of Claims,GJ        ,GJ        ,M,TRUE,No jury trials.,http://courts.mi.gov/courts/coc/Pages/default.aspx,123
186,District,LJ        ,LJ        ,M,FALSE,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,124
187,Municipal,LJ        ,LJ        ,L,FALSE,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,125
188,Probate,LJ        ,LJ        ,M,FALSE,Jury trials in some cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,126
48,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,http://www.mncourts.gov/About-The-Courts/SupremeCourt.aspx,127
49,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,http://www.mncourts.gov/About-The-Courts/CourtOfAppeals.aspx,128
189,District,GJ        ,GJ        ,S,FALSE,"Jury trials except in small claims, child protection, and non-extended jurisdiction juvenile cases.",http://www.mncourts.gov/Find-Courts.aspx,129
50,Supreme Court,COLR      ,COLR      ,S,FALSE,Assigns cases to the Court of Appeals.,-99,130
51,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,-99,131
190,Chancery,LJ        ,LJ        ,M,FALSE,Jury trials (limited).,-99,132
191,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials.,-99,133
192,County,LJ        ,LJ        ,L,FALSE,Jury trials (limited).,-99,134
193,Justice,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,135
194,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,136
52,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://www.courts.mo.gov/page.jsp?id=27,137
53,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://www.courts.mo.gov/page.jsp?id=261,138
195,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials in most cases.,https://www.courts.mo.gov/page.jsp?id=321,139
54,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,-99,140
197,City,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,141
198,District,GJ        ,GJ        ,M,TRUE,Jury trials.,-99,142
199,Justice's Court,LJ        ,LJ        ,L,FALSE,Jury trials except in small claims.,-99,143
200,Municipal,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,144
201,Water,GJ        ,GJ        ,S,FALSE,No jury trials.,-99,145
300,City,LJ        ,LJ        ,M,FALSE,No Jury Trials,-99,291
202,Worker's Compensation,GJ        ,GJ        ,S,FALSE,No jury trials.,-99,146
55,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://supremecourt.nebraska.gov/courts/supreme-court,147
56,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://supremecourt.nebraska.gov/courts/court-appeals,148
203,County,LJ        ,LJ        ,M,FALSE,Jury trials except in juvenile and small claims.,https://supremecourt.nebraska.gov/courts/county-courts,149
204,District,GJ        ,GJ        ,M,FALSE,Jury trials except in appeals.,https://supremecourt.nebraska.gov/courts/district-court,150
205,Separate Juvenile,LJ        ,GJ        ,M,FALSE,No jury trials.,https://supremecourt.nebraska.gov/courts/separate-juvenile-courts,151
206,Worker's Compensation,LJ        ,GJ        ,S,FALSE,No jury trials.,https://supremecourt.nebraska.gov/courts/workers-compensation-court,152
57,Supreme Court,COLR      ,COLR      ,S,FALSE,Assigns cases to the Court of Appeals.,https://nvcourts.gov/supreme/,153
58,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,-99,154
207,District,GJ        ,GJ        ,M,TRUE,Jury trials in most cases.,https://nvcourts.gov/supreme/,155
208,Justice,LJ        ,LJ        ,L,FALSE,"Jury trials except in small claims, traffic, and parking.",https://nvcourts.gov/Find_a_Court/Justice_Courts/,156
209,Municipal,LJ        ,LJ        ,L,TRUE,"Jury trials except in parking, traffic, and specific ordinance violations.",https://nvcourts.gov/Find_a_Court/Municipal_Courts/,157
59,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,https://www.courts.state.nh.us/supreme/index.htm,158
210,Circuit,LJ        ,LJ        ,S,FALSE,No jury trials.,https://www.courts.state.nh.us/district/index.htm,159
211,Superior,GJ        ,GJ        ,S,TRUE,Jury trials.,https://www.courts.state.nh.us/superior/index.htm,160
60,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,-99,161
61,Appellate Division of Superior Court,IAC       ,IAC       ,S,TRUE,-99,-99,162
212,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,163
213,Superior,GJ        ,GJ        ,M,FALSE,Jury trials in most cases.,-99,164
214,Tax,LJ        ,GJ        ,S,TRUE,No jury trials.,-99,165
62,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,https://supremecourt.nmcourts.gov/default.aspx,166
63,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://coa.nmcourts.gov/default.aspx,167
215,Bernalillo County Metropolitan,LJ        ,LJ        ,L,FALSE,Jury trials in some cases.,-99,168
216,District,GJ        ,GJ        ,M,FALSE,Jury trials.,https://www.nmcourts.gov/state-courts.aspx,169
217,Magistrate,LJ        ,LJ        ,M,FALSE,No jury trials.,https://www.nmcourts.gov/Magistrate-Courts/court-listing.aspx,170
218,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,171
219,Probate,LJ        ,GJ        ,L,FALSE,No jury trials.,-99,172
64,Court of Appeals,COLR      ,COLR      ,S,FALSE,-99,http://www.courts.state.ny.us/ctapps/,173
65,Appellate Division of Supreme Court,IAC       ,IAC       ,S,TRUE,-99,http://www.courts.state.ny.us/courts/appellatedivisions.shtml,174
66,Appellate Terms of Supreme Court,IAC       ,IAC       ,S,FALSE,-99,http://www.courts.state.ny.us/courts/lowerappeals.shtml,175
220,City,LJ        ,LJ        ,S,FALSE,Jury trials.,http://www.nycourts.gov/courts/cts-outside-nyc-CITY.shtml,176
221,Civil Ct. of the City of NY,LJ        ,LJ        ,S,FALSE,Jury trials.,http://www.courts.state.ny.us/courts/nyc/civil/index.shtml,177
222,County,GJ        ,GJ        ,S,FALSE,Jury trials.,http://www.courts.state.ny.us/litigants/courtguides/index.shtml,178
223,Court of Claims,LJ        ,GJ        ,S,FALSE,No jury trials.,http://www.nycourts.gov/courts/nyscourtofclaims/,179
224,Criminal Ct of the City of NY,LJ        ,LJ        ,S,FALSE,Jury trials for highest level misdemeanor.,http://www.courts.state.ny.us/courts/nyc/criminal/index.shtml,180
225,District,LJ        ,LJ        ,S,FALSE,Jury trials except in traffic.,http://www.courts.state.ny.us/courts/cts-outside-nyc-DISTRICT.shtml,181
226,Family,LJ        ,GJ        ,S,FALSE,No jury trials.,http://www.courts.state.ny.us/courts/cts-outside-nyc-FAMILY.shtml,182
227,Supreme,GJ        ,GJ        ,S,TRUE,Jury trials.,http://www.courts.state.ny.us/courts/nyc/supreme/index.shtml,183
228,Surrogate's,LJ        ,GJ        ,S,FALSE,Jury trials in probate/estate.,http://www.courts.state.ny.us/courts/cts-outside-nyc-SURROGATES.shtml,184
229,Town & Village Justice,LJ        ,LJ        ,M,FALSE,Jury trials in most cases.,http://www.nycourts.gov/courts/townandvillage/,185
67,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,http://www.nccourts.org/Courts/Appellate/Supreme/Default.asp,186
68,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,http://www.nccourts.org/Courts/Appellate/Appeal/Default.asp,187
230,District,LJ        ,LJ        ,M,FALSE,Jury trials in civil cases only.,http://www.nccourts.org/Courts/Trial/District/Default.asp,188
231,Superior,GJ        ,GJ        ,M,TRUE,Jury trials.,http://www.nccourts.org/Courts/Trial/Superior/Default.asp,189
69,Supreme Court,COLR      ,COLR      ,S,FALSE,Assigns cases to the Temporary Court of Appeals.,www.court.state.nd.us/Court/COURT.htm,190
70,Temporary Court of Appeals,IAC       ,IAC       ,S,FALSE,"A temporary court of appeals was established July 1 1987. The Supreme Court has the authority to call into existence the Court of Appeals for the purpose of exercising appellate and original jurisdiction as delegated by the Supreme Court. Since the Court of Appeals is not a permanent seated court it must be specifically authorized; such authorization for the Court of Appeals extends to January 1 2020.",-99,191
232,District,GJ        ,GJ        ,S,TRUE,Jury trials in many cases.,http://www.ndcourts.gov/court/districts/districts.htm,192
233,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,http://www.ndcourts.gov/court/municipal.htm,193
72,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,http://www.sconet.state.oh.us/,194
73,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,http://www.sconet.state.oh.us/JudSystem/districtCourts/,195
235,County,LJ        ,LJ        ,M,FALSE,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/districtCourts/,196
236,Court of Claims,LJ        ,GJ        ,S,FALSE,Jury trials in some cases.,https://ohiocourtofclaims.gov/,197
237,Court of Common Pleas,GJ        ,GJ        ,M,TRUE,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/default.asp,198
238,Mayor's,LJ        ,LJ        ,L,FALSE,No jury trials.,http://www.ohiomayorscourtclerks.org/,199
239,Municipal,LJ        ,LJ        ,M,FALSE,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/default.asp,200
74,Court of Criminal Appeals,COLR      ,COLR      ,S,FALSE,-99,http://www.okcca.net/,201
75,Supreme Court,COLR      ,COLR      ,S,TRUE,Assigns cases to the Court of Civil Appeals.,http://www.oscn.net/oscn/schome/start.htm,202
76,Court of Civil Appeals,IAC       ,IAC       ,S,FALSE,-99,http://www.oscn.net/oscn/schome/civilappeals.htm,203
240,District,GJ        ,GJ        ,S,FALSE,Jury trials.,http://www.oscn.net/applications/oscn/start.asp?viewType=COURTS,204
241,Municipal Court Not of Record,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,205
242,Municipal Criminal Court of Record,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,206
243,Tax Review,LJ        ,GJ        ,S,TRUE,No jury trials.,-99,207
77,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,courts.oregon.gov/Supreme/pages/index.aspx,209
78,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://www.courts.oregon.gov/courts/appellate/Pages/default.aspx,210
245,Circuit,GJ        ,GJ        ,M,FALSE,Jury trials for most case types.,https://www.courts.oregon.gov/OJD/courts/circuit/index.page,211
246,County,LJ        ,LJ        ,L,FALSE,No jury trials.,https://sos.oregon.gov/blue-book/Pages/state.aspx,212
247,Justice,LJ        ,LJ        ,L,FALSE,Jury trials for some case types.,https://sos.oregon.gov/blue-book/Pages/state.aspx,213
248,Municipal,LJ        ,LJ        ,L,FALSE,Jury trials for some case types.,https://sos.oregon.gov/blue-book/Pages/state.aspx,214
249,Tax,GJ        ,GJ        ,S,TRUE,No jury trials.,https://www.courts.oregon.gov/Tax/pages/index.aspx,215
79,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://www.pacourts.us/courts/supreme-court/,216
80,Commonwealth Court,IAC       ,IAC       ,S,TRUE,-99,http://www.pacourts.us/courts/commonwealth-court/,217
81,Superior Court,IAC       ,IAC       ,S,FALSE,-99,www.pacourts.us/courts/superior-court/,218
250,Court of Common Pleas,GJ        ,GJ        ,M,TRUE,Jury trials in most cases.,http://www.pacourts.us/courts/courts-of-common-pleas/,219
251,Magisterial District Judge,LJ        ,LJ        ,M,FALSE,No jury trials.,http://www.pacourts.us/courts/minor-courts/magisterial-district-judges/,220
252,Philadelphia Municipal,LJ        ,LJ        ,M,FALSE,No jury trials.,http://courts.phila.gov/municipal/,221
82,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://www.ramajudicial.pr/sistema/supremo/index.htm,222
83,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,http://www.ramajudicial.pr/sistema/apelaciones.htm,223
253,Court of First Instance,GJ        ,GJ        ,S,TRUE,-99,http://www.ramajudicial.pr/sistema/instancia.htm,224
84,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,https://www.courts.ri.gov/Courts/SupremeCourt/Pages/default.aspx,225
254,District,LJ        ,LJ        ,S,FALSE,No jury trials.,https://www.courts.ri.gov/Courts/districtcourt/Pages/default.aspx,226
255,Family,LJ        ,GJ        ,S,FALSE,Jury trials.,https://www.courts.ri.gov/Courts/FamilyCourt/Pages/default.aspx,227
256,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,228
257,Probate,LJ        ,GJ        ,L,FALSE,No jury trials.,-99,229
258,Superior,GJ        ,GJ        ,S,TRUE,Jury trials.,https://www.courts.ri.gov/Courts/SuperiorCourt/Pages/default.aspx,230
259,Traffic Tribunal,LJ        ,LJ        ,S,FALSE,No jury trials.,https://www.courts.ri.gov/Courts/rhodeislandtraffictribunal/Pages/default.aspx,231
260,Worker's Compensation,LJ        ,GJ        ,S,TRUE,No jury trials.,https://www.courts.ri.gov/Courts/workerscompensationcourt/Pages/default.aspx,232
85,Supreme Court,COLR      ,COLR      ,S,FALSE,May transfer cases from the Court of Appeals.,-99,233
86,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,-99,234
261,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials except in appeals.,-99,235
262,Family,LJ        ,GJ        ,M,FALSE,No jury trials.,-99,236
263,Magistrate,LJ        ,LJ        ,M,FALSE,Jury trials.,https://www.sccourts.org/magistratecourt/,237
264,Municipal,LJ        ,LJ        ,M,FALSE,Jury trials.,https://www.sccourts.org/municipalcourt/,238
265,Probate,LJ        ,GJ        ,M,FALSE,No jury trials.,-99,239
87,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://ujs.sd.gov/Supreme_Court/default.aspx,240
